TIME,CH1,SBP,DBP,Model,TBS1102C
-3.20000 ,-0.28,147,92,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.19700 ,-0.32,,,,
-3.19400 ,-0.32,,,Point Format,Y
-3.19000 ,-0.36,,,Horizontal Units,S
-3.18700 ,-0.32,,,Horizontal Scale,0.4
-3.18400 ,-0.32,,,Sample Interval,0.0032
-3.18100 ,-0.32,,,Filter Frequency,2.00E+08
-3.17800 ,-0.36,,,Record Length,2000
-3.17400 ,-0.32,,,Gating,0.0% to 100.0%
-3.17100 ,-0.28,,,Probe Attenuation,10
-3.16800 ,-0.24,,,Vertical Units,V
-3.16500 ,-0.24,,,Vertical Offset,0
-3.16200 ,-0.28,,,Vertical Scale,1
-3.15800 ,-0.24,,,Label,
-3.15500 ,-0.2,,,,
-3.15200 ,-0.16,,,,
-3.14900 ,-0.16,,,,
-3.14600 ,-0.2,,,,
-3.14200 ,-0.16,,,,
-3.13900 ,-0.16,,,,
-3.13600 ,-0.12,,,,
-3.13300 ,-0.12,,,,
-3.13000 ,-0.16,,,,
-3.12600 ,-0.16,,,,
-3.12300 ,-0.16,,,,
-3.12000 ,-0.16,,,,
-3.11700 ,-0.16,,,,
-3.11400 ,-0.16,,,,
-3.11000 ,-0.16,,,,
-3.10700 ,-0.16,,,,
-3.10400 ,-0.16,,,,
-3.10100 ,-0.16,,,,
-3.09800 ,-0.16,,,,
-3.09400 ,-0.16,,,,
-3.09100 ,-0.16,,,,
-3.08800 ,-0.16,,,,
-3.08500 ,-0.12,,,,
-3.08200 ,-0.16,,,,
-3.07800 ,-0.16,,,,
-3.07500 ,-0.2,,,,
-3.07200 ,-0.16,,,,
-3.06900 ,-0.16,,,,
-3.06600 ,-0.2,,,,
-3.06200 ,-0.24,,,,
-3.05900 ,-0.24,,,,
-3.05600 ,-0.24,,,,
-3.05300 ,-0.24,,,,
-3.05000 ,-0.24,,,,
-3.04600 ,-0.28,,,,
-3.04300 ,-0.28,,,,
-3.04000 ,-0.32,,,,
-3.03700 ,-0.28,,,,
-3.03400 ,-0.28,,,,
-3.03000 ,-0.32,,,,
-3.02700 ,-0.32,,,,
-3.02400 ,-0.28,,,,
-3.02100 ,-0.24,,,,
-3.01800 ,-0.2,,,,
-3.01400 ,-0.24,,,,
-3.01100 ,-0.28,,,,
-3.00800 ,-0.24,,,,
-3.00500 ,-0.2,,,,
-3.00200 ,-0.16,,,,
-2.99800 ,-0.2,,,,
-2.99500 ,-0.2,,,,
-2.99200 ,-0.16,,,,
-2.98900 ,-0.12,,,,
-2.98600 ,-0.08,,,,
-2.98200 ,-1.19209E-08,,,,
-2.97900 ,-1.19209E-08,,,,
-2.97600 ,0.08,,,,
-2.97300 ,0.16,,,,
-2.97000 ,0.24,,,,
-2.96600 ,0.28,,,,
-2.96300 ,0.32,,,,
-2.96000 ,0.4,,,,
-2.95700 ,0.48,,,,
-2.95400 ,0.6,,,,
-2.95000 ,0.68,,,,
-2.94700 ,0.72,,,,
-2.94400 ,0.76,,,,
-2.94100 ,0.84,,,,
-2.93800 ,0.96,,,,
-2.93400 ,1.08,,,,
-2.93100 ,1.08,,,,
-2.92800 ,1.12,,,,
-2.92500 ,1.2,,,,
-2.92200 ,1.28,,,,
-2.91800 ,1.36,,,,
-2.91500 ,1.4,,,,
-2.91200 ,1.4,,,,
-2.90900 ,1.44,,,,
-2.90600 ,1.44,,,,
-2.90200 ,1.48,,,,
-2.89900 ,1.44,,,,
-2.89600 ,1.4,,,,
-2.89300 ,1.36,,,,
-2.89000 ,1.32,,,,
-2.88600 ,1.28,,,,
-2.88300 ,1.24,,,,
-2.88000 ,1.12,,,,
-2.87700 ,1.04,,,,
-2.87400 ,1,,,,
-2.87000 ,0.92,,,,
-2.86700 ,0.88,,,,
-2.86400 ,0.76,,,,
-2.86100 ,0.68,,,,
-2.85800 ,0.6,,,,
-2.85400 ,0.56,,,,
-2.85100 ,0.52,,,,
-2.84800 ,0.4,,,,
-2.84500 ,0.36,,,,
-2.84200 ,0.36,,,,
-2.83800 ,0.32,,,,
-2.83500 ,0.32,,,,
-2.83200 ,0.28,,,,
-2.82900 ,0.28,,,,
-2.82600 ,0.24,,,,
-2.82200 ,0.24,,,,
-2.81900 ,0.28,,,,
-2.81600 ,0.24,,,,
-2.81300 ,0.24,,,,
-2.81000 ,0.24,,,,
-2.80600 ,0.28,,,,
-2.80300 ,0.28,,,,
-2.80000 ,0.32,,,,
-2.79700 ,0.24,,,,
-2.79400 ,0.24,,,,
-2.79000 ,0.28,,,,
-2.78700 ,0.28,,,,
-2.78400 ,0.28,,,,
-2.78100 ,0.24,,,,
-2.77800 ,0.2,,,,
-2.77400 ,0.2,,,,
-2.77100 ,0.2,,,,
-2.76800 ,0.16,,,,
-2.76500 ,0.08,,,,
-2.76200 ,0.04,,,,
-2.75800 ,-1.19209E-08,,,,
-2.75500 ,-1.19209E-08,,,,
-2.75200 ,-0.08,,,,
-2.74900 ,-0.12,,,,
-2.74600 ,-0.2,,,,
-2.74200 ,-0.2,,,,
-2.73900 ,-0.2,,,,
-2.73600 ,-0.2,,,,
-2.73300 ,-0.2,,,,
-2.73000 ,-0.24,,,,
-2.72600 ,-0.28,,,,
-2.72300 ,-0.28,,,,
-2.72000 ,-0.24,,,,
-2.71700 ,-0.2,,,,
-2.71400 ,-0.2,,,,
-2.71000 ,-0.24,,,,
-2.70700 ,-0.2,,,,
-2.70400 ,-0.16,,,,
-2.70100 ,-0.12,,,,
-2.69800 ,-0.08,,,,
-2.69400 ,-0.08,,,,
-2.69100 ,-0.04,,,,
-2.68800 ,-1.19209E-08,,,,
-2.68500 ,0.04,,,,
-2.68200 ,0.04,,,,
-2.67800 ,0.04,,,,
-2.67500 ,0.08,,,,
-2.67200 ,0.08,,,,
-2.66900 ,0.12,,,,
-2.66600 ,0.08,,,,
-2.66200 ,0.04,,,,
-2.65900 ,0.04,,,,
-2.65600 ,-1.19209E-08,,,,
-2.65300 ,-1.19209E-08,,,,
-2.65000 ,-0.04,,,,
-2.64600 ,-0.04,,,,
-2.64300 ,-0.12,,,,
-2.64000 ,-0.12,,,,
-2.63700 ,-0.12,,,,
-2.63400 ,-0.12,,,,
-2.63000 ,-0.2,,,,
-2.62700 ,-0.2,,,,
-2.62400 ,-0.2,,,,
-2.62100 ,-0.2,,,,
-2.61800 ,-0.24,,,,
-2.61400 ,-0.28,,,,
-2.61100 ,-0.28,,,,
-2.60800 ,-0.32,,,,
-2.60500 ,-0.28,,,,
-2.60200 ,-0.28,,,,
-2.59800 ,-0.32,,,,
-2.59500 ,-0.32,,,,
-2.59200 ,-0.36,,,,
-2.58900 ,-0.32,,,,
-2.58600 ,-0.32,,,,
-2.58200 ,-0.32,,,,
-2.57900 ,-0.36,,,,
-2.57600 ,-0.36,,,,
-2.57300 ,-0.28,,,,
-2.57000 ,-0.32,,,,
-2.56600 ,-0.32,,,,
-2.56300 ,-0.32,,,,
-2.56000 ,-0.36,,,,
-2.55700 ,-0.32,,,,
-2.55400 ,-0.32,,,,
-2.55000 ,-0.28,,,,
-2.54700 ,-0.32,,,,
-2.54400 ,-0.36,,,,
-2.54100 ,-0.36,,,,
-2.53800 ,-0.32,,,,
-2.53400 ,-0.28,,,,
-2.53100 ,-0.4,,,,
-2.52800 ,-0.4,,,,
-2.52500 ,-0.44,,,,
-2.52200 ,-0.4,,,,
-2.51800 ,-0.44,,,,
-2.51500 ,-0.48,,,,
-2.51200 ,-0.52,,,,
-2.50900 ,-0.52,,,,
-2.50600 ,-0.52,,,,
-2.50200 ,-0.48,,,,
-2.49900 ,-0.52,,,,
-2.49600 ,-0.56,,,,
-2.49300 ,-0.56,,,,
-2.49000 ,-0.56,,,,
-2.48600 ,-0.52,,,,
-2.48300 ,-0.56,,,,
-2.48000 ,-0.6,,,,
-2.47700 ,-0.56,,,,
-2.47400 ,-0.52,,,,
-2.47000 ,-0.52,,,,
-2.46700 ,-0.52,,,,
-2.46400 ,-0.52,,,,
-2.46100 ,-0.52,,,,
-2.45800 ,-0.52,,,,
-2.45400 ,-0.48,,,,
-2.45100 ,-0.44,,,,
-2.44800 ,-0.52,,,,
-2.44500 ,-0.52,,,,
-2.44200 ,-0.52,,,,
-2.43800 ,-0.48,,,,
-2.43500 ,-0.48,,,,
-2.43200 ,-0.48,,,,
-2.42900 ,-0.52,,,,
-2.42600 ,-0.48,,,,
-2.42200 ,-0.48,,,,
-2.41900 ,-0.44,,,,
-2.41600 ,-0.48,,,,
-2.41300 ,-0.48,,,,
-2.41000 ,-0.52,,,,
-2.40600 ,-0.48,,,,
-2.40300 ,-0.44,,,,
-2.40000 ,-0.44,,,,
-2.39700 ,-0.44,,,,
-2.39400 ,-0.44,,,,
-2.39000 ,-0.4,,,,
-2.38700 ,-0.4,,,,
-2.38400 ,-0.36,,,,
-2.38100 ,-0.36,,,,
-2.37800 ,-0.36,,,,
-2.37400 ,-0.32,,,,
-2.37100 ,-0.28,,,,
-2.36800 ,-0.28,,,,
-2.36500 ,-0.24,,,,
-2.36200 ,-0.28,,,,
-2.35800 ,-0.28,,,,
-2.35500 ,-0.24,,,,
-2.35200 ,-0.24,,,,
-2.34900 ,-0.24,,,,
-2.34600 ,-0.28,,,,
-2.34200 ,-0.24,,,,
-2.33900 ,-0.24,,,,
-2.33600 ,-0.24,,,,
-2.33300 ,-0.24,,,,
-2.33000 ,-0.24,,,,
-2.32600 ,-0.28,,,,
-2.32300 ,-0.2,,,,
-2.32000 ,-0.16,,,,
-2.31700 ,-0.12,,,,
-2.31400 ,-0.12,,,,
-2.31000 ,-0.04,,,,
-2.30700 ,0.04,,,,
-2.30400 ,0.12,,,,
-2.30100 ,0.2,,,,
-2.29800 ,0.28,,,,
-2.29400 ,0.32,,,,
-2.29100 ,0.4,,,,
-2.28800 ,0.52,,,,
-2.28500 ,0.6,,,,
-2.28200 ,0.68,,,,
-2.27800 ,0.76,,,,
-2.27500 ,0.8,,,,
-2.27200 ,0.88,,,,
-2.26900 ,1,,,,
-2.26600 ,1.04,,,,
-2.26200 ,1.08,,,,
-2.25900 ,1.08,,,,
-2.25600 ,1.16,,,,
-2.25300 ,1.2,,,,
-2.25000 ,1.24,,,,
-2.24600 ,1.2,,,,
-2.24300 ,1.24,,,,
-2.24000 ,1.24,,,,
-2.23700 ,1.24,,,,
-2.23400 ,1.24,,,,
-2.23000 ,1.16,,,,
-2.22700 ,1.12,,,,
-2.22400 ,1.12,,,,
-2.22100 ,1.04,,,,
-2.21800 ,1.04,,,,
-2.21400 ,0.92,,,,
-2.21100 ,0.84,,,,
-2.20800 ,0.8,,,,
-2.20500 ,0.76,,,,
-2.20200 ,0.72,,,,
-2.19800 ,0.64,,,,
-2.19500 ,0.52,,,,
-2.19200 ,0.52,,,,
-2.18900 ,0.44,,,,
-2.18600 ,0.4,,,,
-2.18200 ,0.36,,,,
-2.17900 ,0.28,,,,
-2.17600 ,0.24,,,,
-2.17300 ,0.28,,,,
-2.17000 ,0.2,,,,
-2.16600 ,0.2,,,,
-2.16300 ,0.12,,,,
-2.16000 ,0.12,,,,
-2.15700 ,0.12,,,,
-2.15400 ,0.16,,,,
-2.15000 ,0.12,,,,
-2.14700 ,0.08,,,,
-2.14400 ,0.08,,,,
-2.14100 ,0.08,,,,
-2.13800 ,0.12,,,,
-2.13400 ,0.12,,,,
-2.13100 ,0.12,,,,
-2.12800 ,0.04,,,,
-2.12500 ,0.08,,,,
-2.12200 ,0.08,,,,
-2.11800 ,0.04,,,,
-2.11500 ,-0.04,,,,
-2.11200 ,-0.12,,,,
-2.10900 ,-0.12,,,,
-2.10600 ,-0.16,,,,
-2.10200 ,-0.16,,,,
-2.09900 ,-0.24,,,,
-2.09600 ,-0.28,,,,
-2.09300 ,-0.28,,,,
-2.09000 ,-0.32,,,,
-2.08600 ,-0.36,,,,
-2.08300 ,-0.36,,,,
-2.08000 ,-0.4,,,,
-2.07700 ,-0.4,,,,
-2.07400 ,-0.36,,,,
-2.07000 ,-0.32,,,,
-2.06700 ,-0.32,,,,
-2.06400 ,-0.32,,,,
-2.06100 ,-0.36,,,,
-2.05800 ,-0.32,,,,
-2.05400 ,-0.24,,,,
-2.05100 ,-0.24,,,,
-2.04800 ,-0.28,,,,
-2.04500 ,-0.28,,,,
-2.04200 ,-0.24,,,,
-2.03800 ,-0.2,,,,
-2.03500 ,-0.2,,,,
-2.03200 ,-0.24,,,,
-2.02900 ,-0.28,,,,
-2.02600 ,-0.24,,,,
-2.02200 ,-0.2,,,,
-2.01900 ,-0.24,,,,
-2.01600 ,-0.28,,,,
-2.01300 ,-0.32,,,,
-2.01000 ,-0.28,,,,
-2.00600 ,-0.28,,,,
-2.00300 ,-0.28,,,,
-2.00000 ,-0.28,,,,
-1.99700 ,-0.28,,,,
-1.99400 ,-0.28,,,,
-1.99000 ,-0.28,,,,
-1.98700 ,-0.24,,,,
-1.98400 ,-0.24,,,,
-1.98100 ,-0.28,,,,
-1.97800 ,-0.24,,,,
-1.97400 ,-0.24,,,,
-1.97100 ,-0.24,,,,
-1.96800 ,-0.2,,,,
-1.96500 ,-0.24,,,,
-1.96200 ,-0.24,,,,
-1.95800 ,-0.2,,,,
-1.95500 ,-0.2,,,,
-1.95200 ,-0.2,,,,
-1.94900 ,-0.2,,,,
-1.94600 ,-0.24,,,,
-1.94200 ,-0.2,,,,
-1.93900 ,-0.2,,,,
-1.93600 ,-0.2,,,,
-1.93300 ,-0.24,,,,
-1.93000 ,-0.28,,,,
-1.92600 ,-0.28,,,,
-1.92300 ,-0.28,,,,
-1.92000 ,-0.24,,,,
-1.91700 ,-0.28,,,,
-1.91400 ,-0.28,,,,
-1.91000 ,-0.28,,,,
-1.90700 ,-0.28,,,,
-1.90400 ,-0.28,,,,
-1.90100 ,-0.24,,,,
-1.89800 ,-0.28,,,,
-1.89400 ,-0.28,,,,
-1.89100 ,-0.28,,,,
-1.88800 ,-0.24,,,,
-1.88500 ,-0.24,,,,
-1.88200 ,-0.28,,,,
-1.87800 ,-0.28,,,,
-1.87500 ,-0.28,,,,
-1.87200 ,-0.32,,,,
-1.86900 ,-0.32,,,,
-1.86600 ,-0.32,,,,
-1.86200 ,-0.36,,,,
-1.85900 ,-0.36,,,,
-1.85600 ,-0.36,,,,
-1.85300 ,-0.36,,,,
-1.85000 ,-0.36,,,,
-1.84600 ,-0.4,,,,
-1.84300 ,-0.44,,,,
-1.84000 ,-0.4,,,,
-1.83700 ,-0.4,,,,
-1.83400 ,-0.36,,,,
-1.83000 ,-0.44,,,,
-1.82700 ,-0.44,,,,
-1.82400 ,-0.4,,,,
-1.82100 ,-0.4,,,,
-1.81800 ,-0.36,,,,
-1.81400 ,-0.4,,,,
-1.81100 ,-0.4,,,,
-1.80800 ,-0.32,,,,
-1.80500 ,-0.32,,,,
-1.80200 ,-0.28,,,,
-1.79800 ,-0.24,,,,
-1.79500 ,-0.28,,,,
-1.79200 ,-0.24,,,,
-1.78900 ,-0.24,,,,
-1.78600 ,-0.2,,,,
-1.78200 ,-0.2,,,,
-1.77900 ,-0.2,,,,
-1.77600 ,-0.24,,,,
-1.77300 ,-0.2,,,,
-1.77000 ,-0.2,,,,
-1.76600 ,-0.2,,,,
-1.76300 ,-0.24,,,,
-1.76000 ,-0.2,,,,
-1.75700 ,-0.2,,,,
-1.75400 ,-0.2,,,,
-1.75000 ,-0.16,,,,
-1.74700 ,-0.2,,,,
-1.74400 ,-0.2,,,,
-1.74100 ,-0.2,,,,
-1.73800 ,-0.2,,,,
-1.73400 ,-0.16,,,,
-1.73100 ,-0.16,,,,
-1.72800 ,-0.2,,,,
-1.72500 ,-0.2,,,,
-1.72200 ,-0.16,,,,
-1.71800 ,-0.16,,,,
-1.71500 ,-0.16,,,,
-1.71200 ,-0.2,,,,
-1.70900 ,-0.2,,,,
-1.70600 ,-0.2,,,,
-1.70200 ,-0.16,,,,
-1.69900 ,-0.2,,,,
-1.69600 ,-0.24,,,,
-1.69300 ,-0.24,,,,
-1.69000 ,-0.24,,,,
-1.68600 ,-0.28,,,,
-1.68300 ,-0.28,,,,
-1.68000 ,-0.28,,,,
-1.67700 ,-0.32,,,,
-1.67400 ,-0.32,,,,
-1.67000 ,-0.28,,,,
-1.66700 ,-0.32,,,,
-1.66400 ,-0.36,,,,
-1.66100 ,-0.36,,,,
-1.65800 ,-0.36,,,,
-1.65400 ,-0.4,,,,
-1.65100 ,-0.4,,,,
-1.64800 ,-0.4,,,,
-1.64500 ,-0.4,,,,
-1.64200 ,-0.4,,,,
-1.63800 ,-0.36,,,,
-1.63500 ,-0.36,,,,
-1.63200 ,-0.28,,,,
-1.62900 ,-0.32,,,,
-1.62600 ,-0.28,,,,
-1.62200 ,-0.16,,,,
-1.61900 ,-0.08,,,,
-1.61600 ,-1.19209E-08,,,,
-1.61300 ,0.08,,,,
-1.61000 ,0.16,,,,
-1.60600 ,0.24,,,,
-1.60300 ,0.36,,,,
-1.60000 ,0.44,,,,
-1.59700 ,0.48,,,,
-1.59400 ,0.56,,,,
-1.59000 ,0.68,,,,
-1.58700 ,0.8,,,,
-1.58400 ,0.84,,,,
-1.58100 ,0.88,,,,
-1.57800 ,0.92,,,,
-1.57400 ,1,,,,
-1.57100 ,1.08,,,,
-1.56800 ,1.16,,,,
-1.56500 ,1.16,,,,
-1.56200 ,1.16,,,,
-1.55800 ,1.2,,,,
-1.55500 ,1.24,,,,
-1.55200 ,1.28,,,,
-1.54900 ,1.28,,,,
-1.54600 ,1.24,,,,
-1.54200 ,1.24,,,,
-1.53900 ,1.2,,,,
-1.53600 ,1.2,,,,
-1.53300 ,1.16,,,,
-1.53000 ,1.08,,,,
-1.52600 ,1.04,,,,
-1.52300 ,1.04,,,,
-1.52000 ,1,,,,
-1.51700 ,0.92,,,,
-1.51400 ,0.88,,,,
-1.51000 ,0.8,,,,
-1.50700 ,0.76,,,,
-1.50400 ,0.72,,,,
-1.50100 ,0.68,,,,
-1.49800 ,0.56,,,,
-1.49400 ,0.48,,,,
-1.49100 ,0.44,,,,
-1.48800 ,0.36,,,,
-1.48500 ,0.36,,,,
-1.48200 ,0.28,,,,
-1.47800 ,0.24,,,,
-1.47500 ,0.24,,,,
-1.47200 ,0.2,,,,
-1.46900 ,0.2,,,,
-1.46600 ,0.2,,,,
-1.46200 ,0.16,,,,
-1.45900 ,0.2,,,,
-1.45600 ,0.2,,,,
-1.45300 ,0.28,,,,
-1.45000 ,0.28,,,,
-1.44600 ,0.24,,,,
-1.44300 ,0.28,,,,
-1.44000 ,0.28,,,,
-1.43700 ,0.32,,,,
-1.43400 ,0.32,,,,
-1.43000 ,0.28,,,,
-1.42700 ,0.24,,,,
-1.42400 ,0.24,,,,
-1.42100 ,0.24,,,,
-1.41800 ,0.2,,,,
-1.41400 ,0.12,,,,
-1.41100 ,0.08,,,,
-1.40800 ,0.04,,,,
-1.40500 ,0.04,,,,
-1.40200 ,-0.04,,,,
-1.39800 ,-0.08,,,,
-1.39500 ,-0.2,,,,
-1.39200 ,-0.28,,,,
-1.38900 ,-0.28,,,,
-1.38600 ,-0.32,,,,
-1.38200 ,-0.36,,,,
-1.37900 ,-0.4,,,,
-1.37600 ,-0.4,,,,
-1.37300 ,-0.44,,,,
-1.37000 ,-0.44,,,,
-1.36600 ,-0.44,,,,
-1.36300 ,-0.48,,,,
-1.36000 ,-0.48,,,,
-1.35700 ,-0.48,,,,
-1.35400 ,-0.44,,,,
-1.35000 ,-0.44,,,,
-1.34700 ,-0.44,,,,
-1.34400 ,-0.48,,,,
-1.34100 ,-0.44,,,,
-1.33800 ,-0.44,,,,
-1.33400 ,-0.4,,,,
-1.33100 ,-0.44,,,,
-1.32800 ,-0.44,,,,
-1.32500 ,-0.4,,,,
-1.32200 ,-0.36,,,,
-1.31800 ,-0.32,,,,
-1.31500 ,-0.36,,,,
-1.31200 ,-0.36,,,,
-1.30900 ,-0.32,,,,
-1.30600 ,-0.28,,,,
-1.30200 ,-0.24,,,,
-1.29900 ,-0.24,,,,
-1.29600 ,-0.28,,,,
-1.29300 ,-0.24,,,,
-1.29000 ,-0.2,,,,
-1.28600 ,-0.2,,,,
-1.28300 ,-0.2,,,,
-1.28000 ,-0.2,,,,
-1.27700 ,-0.16,,,,
-1.27400 ,-0.16,,,,
-1.27000 ,-0.16,,,,
-1.26700 ,-0.16,,,,
-1.26400 ,-0.16,,,,
-1.26100 ,-0.2,,,,
-1.25800 ,-0.2,,,,
-1.25400 ,-0.16,,,,
-1.25100 ,-0.16,,,,
-1.24800 ,-0.2,,,,
-1.24500 ,-0.24,,,,
-1.24200 ,-0.24,,,,
-1.23800 ,-0.2,,,,
-1.23500 ,-0.24,,,,
-1.23200 ,-0.28,,,,
-1.22900 ,-0.28,,,,
-1.22600 ,-0.32,,,,
-1.22200 ,-0.32,,,,
-1.21900 ,-0.32,,,,
-1.21600 ,-0.36,,,,
-1.21300 ,-0.4,,,,
-1.21000 ,-0.4,,,,
