TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2,2.46,129,83,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.197,2.54,,,,
-3.194,2.54,,,Point Format,Y
-3.19,2.46,,,Horizontal Units,S
-3.187,2.34,,,Horizontal Scale,0.4
-3.184,2.3,,,Sample Interval,0.0032
-3.181,2.34,,,Filter Frequency,2.00E+08
-3.178,2.42,,,Record Length,2000
-3.174,2.46,,,Gating,0.0% to 100.0%
-3.171,2.34,,,Probe Attenuation,10
-3.168,2.3,,,Vertical Units,V
-3.165,2.26,,,Vertical Offset,0
-3.162,2.3,,,Vertical Scale,1
-3.158,2.38,,,Label,
-3.155,2.38,,,,
-3.152,2.3,,,,
-3.149,2.26,,,,
-3.146,2.22,,,,
-3.142,2.3,,,,
-3.139,2.34,,,,
-3.136,2.34,,,,
-3.133,2.26,,,,
-3.13,2.14,,,,
-3.126,2.18,,,,
-3.123,2.22,,,,
-3.12,2.22,,,,
-3.117,2.1,,,,
-3.114,1.98,,,,
-3.11,1.9,,,,
-3.107,1.94,,,,
-3.104,1.9,,,,
-3.101,1.78,,,,
-3.098,1.66,,,,
-3.094,1.58,,,,
-3.091,1.54,,,,
-3.088,1.58,,,,
-3.085,1.46,,,,
-3.082,1.26,,,,
-3.078,1.14,,,,
-3.075,1.1,,,,
-3.072,1.18,,,,
-3.069,1.18,,,,
-3.066,0.98,,,,
-3.062,0.86,,,,
-3.059,0.82,,,,
-3.056,0.86,,,,
-3.053,0.9,,,,
-3.05,0.82,,,,
-3.046,0.66,,,,
-3.043,0.62,,,,
-3.04,0.74,,,,
-3.037,0.86,,,,
-3.034,0.78,,,,
-3.03,0.7,,,,
-3.027,0.58,,,,
-3.024,0.66,,,,
-3.021,0.78,,,,
-3.018,0.7,,,,
-3.014,0.62,,,,
-3.011,0.5,,,,
-3.008,0.54,,,,
-3.005,0.62,,,,
-3.002,0.62,,,,
-2.998,0.46,,,,
-2.995,0.3,,,,
-2.992,0.26,,,,
-2.989,0.34,,,,
-2.986,0.42,,,,
-2.982,0.26,,,,
-2.979,0.06,,,,
-2.976,0.02,,,,
-2.973,0.06,,,,
-2.97,0.14,,,,
-2.966,0.02,,,,
-2.963,-0.14,,,,
-2.96,-0.22,,,,
-2.957,-0.14,,,,
-2.954,-0.02,,,,
-2.95,-0.06,,,,
-2.947,-0.26,,,,
-2.944,-0.38,,,,
-2.941,-0.34,,,,
-2.938,-0.22,,,,
-2.934,-0.22,,,,
-2.931,-0.34,,,,
-2.928,-0.5,,,,
-2.925,-0.58,,,,
-2.922,-0.46,,,,
-2.918,-0.42,,,,
-2.915,-0.58,,,,
-2.912,-0.74,,,,
-2.909,-0.74,,,,
-2.906,-0.74,,,,
-2.902,-0.7,,,,
-2.899,-0.78,,,,
-2.896,-0.9,,,,
-2.893,-1.02,,,,
-2.89,-0.98,,,,
-2.886,-0.94,,,,
-2.883,-0.94,,,,
-2.88,-1.06,,,,
-2.877,-1.14,,,,
-2.874,-1.06,,,,
-2.87,-1.02,,,,
-2.867,-1.02,,,,
-2.864,-1.06,,,,
-2.861,-1.18,,,,
-2.858,-1.1,,,,
-2.854,-1.06,,,,
-2.851,-0.98,,,,
-2.848,-1.06,,,,
-2.845,-1.1,,,,
-2.842,-1.1,,,,
-2.838,-1.02,,,,
-2.835,-1.02,,,,
-2.832,-1.06,,,,
-2.829,-1.14,,,,
-2.826,-1.14,,,,
-2.822,-1.18,,,,
-2.819,-1.18,,,,
-2.816,-1.22,,,,
-2.813,-1.26,,,,
-2.81,-1.3,,,,
-2.806,-1.3,,,,
-2.803,-1.34,,,,
-2.8,-1.34,,,,
-2.797,-1.38,,,,
-2.794,-1.46,,,,
-2.79,-1.42,,,,
-2.787,-1.46,,,,
-2.784,-1.42,,,,
-2.781,-1.46,,,,
-2.778,-1.38,,,,
-2.774,-1.42,,,,
-2.771,-1.38,,,,
-2.768,-1.34,,,,
-2.765,-1.38,,,,
-2.762,-1.34,,,,
-2.758,-1.34,,,,
-2.755,-1.34,,,,
-2.752,-1.3,,,,
-2.749,-1.34,,,,
-2.746,-1.38,,,,
-2.742,-1.38,,,,
-2.739,-1.38,,,,
-2.736,-1.42,,,,
-2.733,-1.46,,,,
-2.73,-1.5,,,,
-2.726,-1.62,,,,
-2.723,-1.62,,,,
-2.72,-1.66,,,,
-2.717,-1.7,,,,
-2.714,-1.74,,,,
-2.71,-1.82,,,,
-2.707,-1.82,,,,
-2.704,-1.86,,,,
-2.701,-1.86,,,,
-2.698,-1.86,,,,
-2.694,-1.9,,,,
-2.691,-1.9,,,,
-2.688,-1.86,,,,
-2.685,-1.9,,,,
-2.682,-1.9,,,,
-2.678,-1.9,,,,
-2.675,-1.94,,,,
-2.672,-1.94,,,,
-2.669,-1.98,,,,
-2.666,-1.94,,,,
-2.662,-1.98,,,,
-2.659,-2.02,,,,
-2.656,-2.02,,,,
-2.653,-2.06,,,,
-2.65,-2.1,,,,
-2.646,-2.1,,,,
-2.643,-2.06,,,,
-2.64,-2.1,,,,
-2.637,-2.02,,,,
-2.634,-1.98,,,,
-2.63,-1.9,,,,
-2.627,-1.78,,,,
-2.624,-1.62,,,,
-2.621,-1.46,,,,
-2.618,-1.22,,,,
-2.614,-0.98,,,,
-2.611,-0.74,,,,
-2.608,-0.42,,,,
-2.605,-0.18,,,,
-2.602,0.18,,,,
-2.598,0.46,,,,
-2.595,0.82,,,,
-2.592,1.14,,,,
-2.589,1.5,,,,
-2.586,1.82,,,,
-2.582,2.1,,,,
-2.579,2.3,,,,
-2.576,2.54,,,,
-2.573,2.74,,,,
-2.57,3.02,,,,
-2.566,3.3,,,,
-2.563,3.58,,,,
-2.56,3.66,,,,
-2.557,3.74,,,,
-2.554,3.7,,,,
-2.55,3.66,,,,
-2.547,3.66,,,,
-2.544,3.7,,,,
-2.541,3.66,,,,
-2.538,3.66,,,,
-2.534,3.66,,,,
-2.531,3.58,,,,
-2.528,3.34,,,,
-2.525,2.98,,,,
-2.522,2.7,,,,
-2.518,2.62,,,,
-2.515,2.5,,,,
-2.512,2.34,,,,
-2.509,2.14,,,,
-2.506,1.94,,,,
-2.502,1.86,,,,
-2.499,1.86,,,,
-2.496,1.78,,,,
-2.493,1.66,,,,
-2.49,1.46,,,,
-2.486,1.42,,,,
-2.483,1.46,,,,
-2.48,1.42,,,,
-2.477,1.38,,,,
-2.474,1.22,,,,
-2.47,1.14,,,,
-2.467,1.22,,,,
-2.464,1.26,,,,
-2.461,1.26,,,,
-2.458,1.14,,,,
-2.454,1.06,,,,
-2.451,1.1,,,,
-2.448,1.26,,,,
-2.445,1.26,,,,
-2.442,1.22,,,,
-2.438,1.1,,,,
-2.435,1.1,,,,
-2.432,1.22,,,,
-2.429,1.34,,,,
-2.426,1.3,,,,
-2.422,1.22,,,,
-2.419,1.14,,,,
-2.416,1.22,,,,
-2.413,1.26,,,,
-2.41,1.26,,,,
-2.406,1.14,,,,
-2.403,0.98,,,,
-2.4,0.98,,,,
-2.397,1.06,,,,
-2.394,1.02,,,,
-2.39,0.82,,,,
-2.387,0.66,,,,
-2.384,0.58,,,,
-2.381,0.62,,,,
-2.378,0.62,,,,
-2.374,0.46,,,,
-2.371,0.22,,,,
-2.368,0.18,,,,
-2.365,0.22,,,,
-2.362,0.3,,,,
-2.358,0.18,,,,
-2.355,0.02,,,,
-2.352,-0.1,,,,
-2.349,-0.02,,,,
-2.346,0.1,,,,
-2.342,0.06,,,,
-2.339,-0.1,,,,
-2.336,-0.18,,,,
-2.333,-0.14,,,,
-2.33,-0.02,,,,
-2.326,0.06,,,,
-2.323,-0.02,,,,
-2.32,-0.14,,,,
-2.317,-0.1,,,,
-2.314,0.02,,,,
-2.31,0.14,,,,
-2.307,0.06,,,,
-2.304,-0.02,,,,
-2.301,-0.02,,,,
-2.298,0.1,,,,
-2.294,0.26,,,,
-2.291,0.22,,,,
-2.288,0.1,,,,
-2.285,0.06,,,,
-2.282,0.18,,,,
-2.278,0.26,,,,
-2.275,0.3,,,,
-2.272,0.1,,,,
-2.269,0.06,,,,
-2.266,0.06,,,,
-2.262,0.14,,,,
-2.259,0.1,,,,
-2.256,-0.06,,,,
-2.253,-0.22,,,,
-2.25,-0.3,,,,
-2.246,-0.3,,,,
-2.243,-0.34,,,,
-2.24,-0.42,,,,
-2.237,-0.66,,,,
-2.234,-0.7,,,,
-2.23,-0.78,,,,
-2.227,-0.78,,,,
-2.224,-0.9,,,,
-2.221,-1.06,,,,
-2.218,-1.22,,,,
-2.214,-1.18,,,,
-2.211,-1.14,,,,
-2.208,-1.22,,,,
-2.205,-1.34,,,,
-2.202,-1.42,,,,
-2.198,-1.38,,,,
-2.195,-1.38,,,,
-2.192,-1.42,,,,
-2.189,-1.46,,,,
-2.186,-1.54,,,,
-2.182,-1.54,,,,
-2.179,-1.5,,,,
-2.176,-1.54,,,,
-2.173,-1.58,,,,
-2.17,-1.66,,,,
-2.166,-1.62,,,,
-2.163,-1.62,,,,
-2.16,-1.66,,,,
-2.157,-1.66,,,,
-2.154,-1.74,,,,
-2.15,-1.78,,,,
-2.147,-1.78,,,,
-2.144,-1.78,,,,
-2.141,-1.82,,,,
-2.138,-1.9,,,,
-2.134,-1.94,,,,
-2.131,-1.98,,,,
-2.128,-1.98,,,,
-2.125,-2.02,,,,
-2.122,-2.02,,,,
-2.118,-2.06,,,,
-2.115,-2.1,,,,
-2.112,-2.1,,,,
-2.109,-2.1,,,,
-2.106,-2.14,,,,
-2.102,-2.1,,,,
-2.099,-2.14,,,,
-2.096,-2.1,,,,
-2.093,-2.06,,,,
-2.09,-2.06,,,,
-2.086,-2.1,,,,
-2.083,-2.1,,,,
-2.08,-2.1,,,,
-2.077,-2.06,,,,
-2.074,-2.1,,,,
-2.07,-2.1,,,,
-2.067,-2.14,,,,
-2.064,-2.1,,,,
-2.061,-2.14,,,,
-2.058,-2.1,,,,
-2.054,-2.18,,,,
-2.051,-2.18,,,,
-2.048,-2.14,,,,
-2.045,-2.1,,,,
-2.042,-2.14,,,,
-2.038,-2.18,,,,
-2.035,-2.18,,,,
