TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2000 ,-0.6600 ,127,62,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.1970 ,-0.6200 ,,,,
-3.1940 ,-0.5800 ,,,Point Format,Y
-3.1900 ,-0.5800 ,,,Horizontal Units,S
-3.1870 ,-0.7000 ,,,Horizontal Scale,0.4
-3.1840 ,-0.7800 ,,,Sample Interval,0.0032
-3.1810 ,-0.7800 ,,,Filter Frequency,2.00E+08
-3.1780 ,-0.7000 ,,,Record Length,2000
-3.1740 ,-0.7000 ,,,Gating,0.0% to 100.0%
-3.1710 ,-0.7800 ,,,Probe Attenuation,10
-3.1680 ,-0.8600 ,,,Vertical Units,V
-3.1650 ,-0.8600 ,,,Vertical Offset,0
-3.1620 ,-0.8200 ,,,Vertical Scale,1
-3.1580 ,-0.7800 ,,,Label,
-3.1550 ,-0.8600 ,,,,
-3.1520 ,-0.9400 ,,,,
-3.1490 ,-0.9400 ,,,,
-3.1460 ,-0.9000 ,,,,
-3.1420 ,-0.8600 ,,,,
-3.1390 ,-0.9000 ,,,,
-3.1360 ,-0.9800 ,,,,
-3.1330 ,-0.9800 ,,,,
-3.1300 ,-0.9800 ,,,,
-3.1260 ,-0.9000 ,,,,
-3.1230 ,-0.9400 ,,,,
-3.1200 ,-1.0200 ,,,,
-3.1170 ,-1.0600 ,,,,
-3.1140 ,-1.0200 ,,,,
-3.1100 ,-0.9800 ,,,,
-3.1070 ,-0.9800 ,,,,
-3.1040 ,-1.0200 ,,,,
-3.1010 ,-1.0600 ,,,,
-3.0980 ,-1.0600 ,,,,
-3.0940 ,-1.0200 ,,,,
-3.0910 ,-1.0600 ,,,,
-3.0880 ,-1.0600 ,,,,
-3.0850 ,-1.1000 ,,,,
-3.0820 ,-1.1000 ,,,,
-3.0780 ,-1.0600 ,,,,
-3.0750 ,-1.0600 ,,,,
-3.0720 ,-1.0600 ,,,,
-3.0690 ,-1.1000 ,,,,
-3.0660 ,-1.1000 ,,,,
-3.0620 ,-1.1000 ,,,,
-3.0590 ,-1.0600 ,,,,
-3.0560 ,-1.0600 ,,,,
-3.0530 ,-1.0600 ,,,,
-3.0500 ,-1.0600 ,,,,
-3.0460 ,-1.0200 ,,,,
-3.0430 ,-1.0200 ,,,,
-3.0400 ,-1.0200 ,,,,
-3.0370 ,-1.0600 ,,,,
-3.0340 ,-1.0600 ,,,,
-3.0300 ,-1.0600 ,,,,
-3.0270 ,-1.0200 ,,,,
-3.0240 ,-1.0600 ,,,,
-3.0210 ,-1.0200 ,,,,
-3.0180 ,-1.0600 ,,,,
-3.0140 ,-1.0600 ,,,,
-3.0110 ,-1.0600 ,,,,
-3.0080 ,-1.0600 ,,,,
-3.0050 ,-1.0600 ,,,,
-3.0020 ,-1.1000 ,,,,
-2.9980 ,-1.1000 ,,,,
-2.9950 ,-1.1000 ,,,,
-2.9920 ,-1.1000 ,,,,
-2.9890 ,-1.1000 ,,,,
-2.9860 ,-1.1400 ,,,,
-2.9820 ,-1.1400 ,,,,
-2.9790 ,-1.1800 ,,,,
-2.9760 ,-1.1400 ,,,,
-2.9730 ,-1.1800 ,,,,
-2.9700 ,-1.1800 ,,,,
-2.9660 ,-1.1800 ,,,,
-2.9630 ,-1.1800 ,,,,
-2.9600 ,-1.1800 ,,,,
-2.9570 ,-1.1800 ,,,,
-2.9540 ,-1.1800 ,,,,
-2.9500 ,-1.1400 ,,,,
-2.9470 ,-1.1000 ,,,,
-2.9440 ,-1.0600 ,,,,
-2.9410 ,-1.0200 ,,,,
-2.9380 ,-0.9400 ,,,,
-2.9340 ,-0.8600 ,,,,
-2.9310 ,-0.7800 ,,,,
-2.9280 ,-0.6200 ,,,,
-2.9250 ,-0.5000 ,,,,
-2.9220 ,-0.3000 ,,,,
-2.9180 ,-0.1800 ,,,,
-2.9150 ,0.0200 ,,,,
-2.9120 ,0.2200 ,,,,
-2.9090 ,0.4200 ,,,,
-2.9060 ,0.6200 ,,,,
-2.9020 ,0.8600 ,,,,
-2.8990 ,1.0200 ,,,,
-2.8960 ,1.2200 ,,,,
-2.8930 ,1.4600 ,,,,
-2.8900 ,1.7000 ,,,,
-2.8860 ,1.9800 ,,,,
-2.8830 ,2.1000 ,,,,
-2.8800 ,2.1400 ,,,,
-2.8770 ,2.3000 ,,,,
-2.8740 ,2.4200 ,,,,
-2.8700 ,2.6200 ,,,,
-2.8670 ,2.7800 ,,,,
-2.8640 ,2.9000 ,,,,
